image_id,0
0-1041,"[{""video_id"":0,""sequence"":45518,""video_frame"":1041,""sequence_frame"":168,""image_id"":""0-1041"",""annotations"":[]}]"
0-1042,"[{""video_id"":0,""sequence"":45518,""video_frame"":1042,""sequence_frame"":169,""image_id"":""0-1042"",""annotations"":[]}]"
0-1043,"[{""video_id"":0,""sequence"":45518,""video_frame"":1043,""sequence_frame"":170,""image_id"":""0-1043"",""annotations"":[]}]"
0-1044,"[{""video_id"":0,""sequence"":45518,""video_frame"":1044,""sequence_frame"":171,""image_id"":""0-1044"",""annotations"":[]}]"
0-1045,"[{""video_id"":0,""sequence"":45518,""video_frame"":1045,""sequence_frame"":172,""image_id"":""0-1045"",""annotations"":[]}]"
0-1046,"[{""video_id"":0,""sequence"":45518,""video_frame"":1046,""sequence_frame"":173,""image_id"":""0-1046"",""annotations"":[]}]"
0-1047,"[{""video_id"":0,""sequence"":45518,""video_frame"":1047,""sequence_frame"":174,""image_id"":""0-1047"",""annotations"":[]}]"
0-1048,"[{""video_id"":0,""sequence"":45518,""video_frame"":1048,""sequence_frame"":175,""image_id"":""0-1048"",""annotations"":[]}]"
0-1049,"[{""video_id"":0,""sequence"":45518,""video_frame"":1049,""sequence_frame"":176,""image_id"":""0-1049"",""annotations"":[]}]"
0-105,"[{""video_id"":0,""sequence"":40258,""video_frame"":105,""sequence_frame"":105,""image_id"":""0-105"",""annotations"":[{""x"":642,""y"":43,""width"":20,""height"":22}]}]"
0-1050,"[{""video_id"":0,""sequence"":45518,""video_frame"":1050,""sequence_frame"":177,""image_id"":""0-1050"",""annotations"":[]}]"
0-1051,"[{""video_id"":0,""sequence"":45518,""video_frame"":1051,""sequence_frame"":178,""image_id"":""0-1051"",""annotations"":[]}]"
0-1052,"[{""video_id"":0,""sequence"":45518,""video_frame"":1052,""sequence_frame"":179,""image_id"":""0-1052"",""annotations"":[]}]"
0-1053,"[{""video_id"":0,""sequence"":45518,""video_frame"":1053,""sequence_frame"":180,""image_id"":""0-1053"",""annotations"":[]}]"
0-1054,"[{""video_id"":0,""sequence"":45518,""video_frame"":1054,""sequence_frame"":181,""image_id"":""0-1054"",""annotations"":[]}]"
0-1055,"[{""video_id"":0,""sequence"":45518,""video_frame"":1055,""sequence_frame"":182,""image_id"":""0-1055"",""annotations"":[]}]"
0-1056,"[{""video_id"":0,""sequence"":45518,""video_frame"":1056,""sequence_frame"":183,""image_id"":""0-1056"",""annotations"":[]}]"
0-1057,"[{""video_id"":0,""sequence"":45518,""video_frame"":1057,""sequence_frame"":184,""image_id"":""0-1057"",""annotations"":[]}]"
0-1058,"[{""video_id"":0,""sequence"":45518,""video_frame"":1058,""sequence_frame"":185,""image_id"":""0-1058"",""annotations"":[]}]"
0-1059,"[{""video_id"":0,""sequence"":45518,""video_frame"":1059,""sequence_frame"":186,""image_id"":""0-1059"",""annotations"":[]}]"
0-106,"[{""video_id"":0,""sequence"":40258,""video_frame"":106,""sequence_frame"":106,""image_id"":""0-106"",""annotations"":[{""x"":644,""y"":39,""width"":20,""height"":22}]}]"
0-1060,"[{""video_id"":0,""sequence"":45518,""video_frame"":1060,""sequence_frame"":187,""image_id"":""0-1060"",""annotations"":[]}]"
0-1061,"[{""video_id"":0,""sequence"":45518,""video_frame"":1061,""sequence_frame"":188,""image_id"":""0-1061"",""annotations"":[]}]"
0-1062,"[{""video_id"":0,""sequence"":45518,""video_frame"":1062,""sequence_frame"":189,""image_id"":""0-1062"",""annotations"":[]}]"
0-1063,"[{""video_id"":0,""sequence"":45518,""video_frame"":1063,""sequence_frame"":190,""image_id"":""0-1063"",""annotations"":[]}]"
0-1064,"[{""video_id"":0,""sequence"":45518,""video_frame"":1064,""sequence_frame"":191,""image_id"":""0-1064"",""annotations"":[]}]"
0-1065,"[{""video_id"":0,""sequence"":45518,""video_frame"":1065,""sequence_frame"":192,""image_id"":""0-1065"",""annotations"":[]}]"
0-1066,"[{""video_id"":0,""sequence"":45518,""video_frame"":1066,""sequence_frame"":193,""image_id"":""0-1066"",""annotations"":[]}]"
0-1067,"[{""video_id"":0,""sequence"":45518,""video_frame"":1067,""sequence_frame"":194,""image_id"":""0-1067"",""annotations"":[]}]"
0-1068,"[{""video_id"":0,""sequence"":45518,""video_frame"":1068,""sequence_frame"":195,""image_id"":""0-1068"",""annotations"":[]}]"
0-1069,"[{""video_id"":0,""sequence"":45518,""video_frame"":1069,""sequence_frame"":196,""image_id"":""0-1069"",""annotations"":[]}]"
0-107,"[{""video_id"":0,""sequence"":40258,""video_frame"":107,""sequence_frame"":107,""image_id"":""0-107"",""annotations"":[{""x"":645,""y"":35,""width"":21,""height"":22}]}]"
0-1070,"[{""video_id"":0,""sequence"":45518,""video_frame"":1070,""sequence_frame"":197,""image_id"":""0-1070"",""annotations"":[]}]"
0-1071,"[{""video_id"":0,""sequence"":45518,""video_frame"":1071,""sequence_frame"":198,""image_id"":""0-1071"",""annotations"":[]}]"
0-1072,"[{""video_id"":0,""sequence"":45518,""video_frame"":1072,""sequence_frame"":199,""image_id"":""0-1072"",""annotations"":[]}]"
0-1073,"[{""video_id"":0,""sequence"":45518,""video_frame"":1073,""sequence_frame"":200,""image_id"":""0-1073"",""annotations"":[]}]"
0-1074,"[{""video_id"":0,""sequence"":45518,""video_frame"":1074,""sequence_frame"":201,""image_id"":""0-1074"",""annotations"":[]}]"
0-1075,"[{""video_id"":0,""sequence"":45518,""video_frame"":1075,""sequence_frame"":202,""image_id"":""0-1075"",""annotations"":[]}]"
0-1076,"[{""video_id"":0,""sequence"":45518,""video_frame"":1076,""sequence_frame"":203,""image_id"":""0-1076"",""annotations"":[]}]"
0-1077,"[{""video_id"":0,""sequence"":45518,""video_frame"":1077,""sequence_frame"":204,""image_id"":""0-1077"",""annotations"":[]}]"
0-1078,"[{""video_id"":0,""sequence"":45518,""video_frame"":1078,""sequence_frame"":205,""image_id"":""0-1078"",""annotations"":[]}]"
0-1079,"[{""video_id"":0,""sequence"":45518,""video_frame"":1079,""sequence_frame"":206,""image_id"":""0-1079"",""annotations"":[]}]"
0-108,"[{""video_id"":0,""sequence"":40258,""video_frame"":108,""sequence_frame"":108,""image_id"":""0-108"",""annotations"":[{""x"":646,""y"":32,""width"":21,""height"":23}]}]"
0-1080,"[{""video_id"":0,""sequence"":45518,""video_frame"":1080,""sequence_frame"":207,""image_id"":""0-1080"",""annotations"":[]}]"
0-1081,"[{""video_id"":0,""sequence"":45518,""video_frame"":1081,""sequence_frame"":208,""image_id"":""0-1081"",""annotations"":[]}]"
0-1082,"[{""video_id"":0,""sequence"":45518,""video_frame"":1082,""sequence_frame"":209,""image_id"":""0-1082"",""annotations"":[]}]"
0-1083,"[{""video_id"":0,""sequence"":45518,""video_frame"":1083,""sequence_frame"":210,""image_id"":""0-1083"",""annotations"":[]}]"
0-1084,"[{""video_id"":0,""sequence"":45518,""video_frame"":1084,""sequence_frame"":211,""image_id"":""0-1084"",""annotations"":[]}]"
0-1085,"[{""video_id"":0,""sequence"":45518,""video_frame"":1085,""sequence_frame"":212,""image_id"":""0-1085"",""annotations"":[]}]"
0-1086,"[{""video_id"":0,""sequence"":45518,""video_frame"":1086,""sequence_frame"":213,""image_id"":""0-1086"",""annotations"":[]}]"
0-1087,"[{""video_id"":0,""sequence"":45518,""video_frame"":1087,""sequence_frame"":214,""image_id"":""0-1087"",""annotations"":[]}]"
0-1088,"[{""video_id"":0,""sequence"":45518,""video_frame"":1088,""sequence_frame"":215,""image_id"":""0-1088"",""annotations"":[]}]"
0-1089,"[{""video_id"":0,""sequence"":45518,""video_frame"":1089,""sequence_frame"":216,""image_id"":""0-1089"",""annotations"":[]}]"
0-109,"[{""video_id"":0,""sequence"":40258,""video_frame"":109,""sequence_frame"":109,""image_id"":""0-109"",""annotations"":[{""x"":647,""y"":28,""width"":22,""height"":23}]}]"
0-1090,"[{""video_id"":0,""sequence"":45518,""video_frame"":1090,""sequence_frame"":217,""image_id"":""0-1090"",""annotations"":[]}]"
0-1091,"[{""video_id"":0,""sequence"":45518,""video_frame"":1091,""sequence_frame"":218,""image_id"":""0-1091"",""annotations"":[]}]"
0-1092,"[{""video_id"":0,""sequence"":45518,""video_frame"":1092,""sequence_frame"":219,""image_id"":""0-1092"",""annotations"":[]}]"
0-1093,"[{""video_id"":0,""sequence"":45518,""video_frame"":1093,""sequence_frame"":220,""image_id"":""0-1093"",""annotations"":[]}]"
0-1094,"[{""video_id"":0,""sequence"":45518,""video_frame"":1094,""sequence_frame"":221,""image_id"":""0-1094"",""annotations"":[]}]"
0-1095,"[{""video_id"":0,""sequence"":45518,""video_frame"":1095,""sequence_frame"":222,""image_id"":""0-1095"",""annotations"":[]}]"
0-1096,"[{""video_id"":0,""sequence"":45518,""video_frame"":1096,""sequence_frame"":223,""image_id"":""0-1096"",""annotations"":[]}]"
0-1097,"[{""video_id"":0,""sequence"":45518,""video_frame"":1097,""sequence_frame"":224,""image_id"":""0-1097"",""annotations"":[]}]"
0-1098,"[{""video_id"":0,""sequence"":45518,""video_frame"":1098,""sequence_frame"":225,""image_id"":""0-1098"",""annotations"":[]}]"
0-1099,"[{""video_id"":0,""sequence"":45518,""video_frame"":1099,""sequence_frame"":226,""image_id"":""0-1099"",""annotations"":[]}]"
0-11,"[{""video_id"":0,""sequence"":40258,""video_frame"":11,""sequence_frame"":11,""image_id"":""0-11"",""annotations"":[]}]"
0-110,"[{""video_id"":0,""sequence"":40258,""video_frame"":110,""sequence_frame"":110,""image_id"":""0-110"",""annotations"":[{""x"":648,""y"":25,""width"":22,""height"":24}]}]"
0-1100,"[{""video_id"":0,""sequence"":45518,""video_frame"":1100,""sequence_frame"":227,""image_id"":""0-1100"",""annotations"":[]}]"
0-1101,"[{""video_id"":0,""sequence"":45518,""video_frame"":1101,""sequence_frame"":228,""image_id"":""0-1101"",""annotations"":[]}]"
0-1102,"[{""video_id"":0,""sequence"":45518,""video_frame"":1102,""sequence_frame"":229,""image_id"":""0-1102"",""annotations"":[]}]"
0-1103,"[{""video_id"":0,""sequence"":45518,""video_frame"":1103,""sequence_frame"":230,""image_id"":""0-1103"",""annotations"":[]}]"
0-1104,"[{""video_id"":0,""sequence"":45518,""video_frame"":1104,""sequence_frame"":231,""image_id"":""0-1104"",""annotations"":[]}]"
0-1105,"[{""video_id"":0,""sequence"":45518,""video_frame"":1105,""sequence_frame"":232,""image_id"":""0-1105"",""annotations"":[]}]"
0-1106,"[{""video_id"":0,""sequence"":45518,""video_frame"":1106,""sequence_frame"":233,""image_id"":""0-1106"",""annotations"":[]}]"
0-1107,"[{""video_id"":0,""sequence"":45518,""video_frame"":1107,""sequence_frame"":234,""image_id"":""0-1107"",""annotations"":[]}]"
0-1108,"[{""video_id"":0,""sequence"":45518,""video_frame"":1108,""sequence_frame"":235,""image_id"":""0-1108"",""annotations"":[]}]"
0-1109,"[{""video_id"":0,""sequence"":45518,""video_frame"":1109,""sequence_frame"":236,""image_id"":""0-1109"",""annotations"":[]}]"
0-111,"[{""video_id"":0,""sequence"":40258,""video_frame"":111,""sequence_frame"":111,""image_id"":""0-111"",""annotations"":[{""x"":649,""y"":22,""width"":23,""height"":24}]}]"
0-1110,"[{""video_id"":0,""sequence"":45518,""video_frame"":1110,""sequence_frame"":237,""image_id"":""0-1110"",""annotations"":[]}]"
0-1111,"[{""video_id"":0,""sequence"":45518,""video_frame"":1111,""sequence_frame"":238,""image_id"":""0-1111"",""annotations"":[]}]"
0-1112,"[{""video_id"":0,""sequence"":45518,""video_frame"":1112,""sequence_frame"":239,""image_id"":""0-1112"",""annotations"":[]}]"
0-1113,"[{""video_id"":0,""sequence"":45518,""video_frame"":1113,""sequence_frame"":240,""image_id"":""0-1113"",""annotations"":[]}]"
0-1114,"[{""video_id"":0,""sequence"":45518,""video_frame"":1114,""sequence_frame"":241,""image_id"":""0-1114"",""annotations"":[]}]"
0-1115,"[{""video_id"":0,""sequence"":45518,""video_frame"":1115,""sequence_frame"":242,""image_id"":""0-1115"",""annotations"":[]}]"
0-1116,"[{""video_id"":0,""sequence"":45518,""video_frame"":1116,""sequence_frame"":243,""image_id"":""0-1116"",""annotations"":[]}]"
0-1117,"[{""video_id"":0,""sequence"":45518,""video_frame"":1117,""sequence_frame"":244,""image_id"":""0-1117"",""annotations"":[]}]"
0-1118,"[{""video_id"":0,""sequence"":45518,""video_frame"":1118,""sequence_frame"":245,""image_id"":""0-1118"",""annotations"":[]}]"
0-1119,"[{""video_id"":0,""sequence"":45518,""video_frame"":1119,""sequence_frame"":246,""image_id"":""0-1119"",""annotations"":[]}]"
0-112,"[{""video_id"":0,""sequence"":40258,""video_frame"":112,""sequence_frame"":112,""image_id"":""0-112"",""annotations"":[{""x"":650,""y"":18,""width"":23,""height"":25}]}]"
0-1120,"[{""video_id"":0,""sequence"":45518,""video_frame"":1120,""sequence_frame"":247,""image_id"":""0-1120"",""annotations"":[]}]"
0-1121,"[{""video_id"":0,""sequence"":45518,""video_frame"":1121,""sequence_frame"":248,""image_id"":""0-1121"",""annotations"":[]}]"
0-1122,"[{""video_id"":0,""sequence"":45518,""video_frame"":1122,""sequence_frame"":249,""image_id"":""0-1122"",""annotations"":[]}]"
0-1123,"[{""video_id"":0,""sequence"":45518,""video_frame"":1123,""sequence_frame"":250,""image_id"":""0-1123"",""annotations"":[]}]"
0-1124,"[{""video_id"":0,""sequence"":45518,""video_frame"":1124,""sequence_frame"":251,""image_id"":""0-1124"",""annotations"":[]}]"
0-1125,"[{""video_id"":0,""sequence"":45518,""video_frame"":1125,""sequence_frame"":252,""image_id"":""0-1125"",""annotations"":[]}]"
0-1126,"[{""video_id"":0,""sequence"":45518,""video_frame"":1126,""sequence_frame"":253,""image_id"":""0-1126"",""annotations"":[]}]"
0-1127,"[{""video_id"":0,""sequence"":45518,""video_frame"":1127,""sequence_frame"":254,""image_id"":""0-1127"",""annotations"":[]}]"
0-1128,"[{""video_id"":0,""sequence"":45518,""video_frame"":1128,""sequence_frame"":255,""image_id"":""0-1128"",""annotations"":[]}]"
0-1129,"[{""video_id"":0,""sequence"":45518,""video_frame"":1129,""sequence_frame"":256,""image_id"":""0-1129"",""annotations"":[]}]"
0-113,"[{""video_id"":0,""sequence"":40258,""video_frame"":113,""sequence_frame"":113,""image_id"":""0-113"",""annotations"":[{""x"":651,""y"":15,""width"":24,""height"":25}]}]"
0-1130,"[{""video_id"":0,""sequence"":45518,""video_frame"":1130,""sequence_frame"":257,""image_id"":""0-1130"",""annotations"":[]}]"
0-1131,"[{""video_id"":0,""sequence"":45518,""video_frame"":1131,""sequence_frame"":258,""image_id"":""0-1131"",""annotations"":[]}]"
0-1132,"[{""video_id"":0,""sequence"":45518,""video_frame"":1132,""sequence_frame"":259,""image_id"":""0-1132"",""annotations"":[]}]"
0-1133,"[{""video_id"":0,""sequence"":45518,""video_frame"":1133,""sequence_frame"":260,""image_id"":""0-1133"",""annotations"":[]}]"
0-1134,"[{""video_id"":0,""sequence"":45518,""video_frame"":1134,""sequence_frame"":261,""image_id"":""0-1134"",""annotations"":[]}]"
0-1135,"[{""video_id"":0,""sequence"":45518,""video_frame"":1135,""sequence_frame"":262,""image_id"":""0-1135"",""annotations"":[]}]"
0-1136,"[{""video_id"":0,""sequence"":45518,""video_frame"":1136,""sequence_frame"":263,""image_id"":""0-1136"",""annotations"":[]}]"
0-1137,"[{""video_id"":0,""sequence"":45518,""video_frame"":1137,""sequence_frame"":264,""image_id"":""0-1137"",""annotations"":[]}]"
0-1138,"[{""video_id"":0,""sequence"":45518,""video_frame"":1138,""sequence_frame"":265,""image_id"":""0-1138"",""annotations"":[]}]"
0-1139,"[{""video_id"":0,""sequence"":45518,""video_frame"":1139,""sequence_frame"":266,""image_id"":""0-1139"",""annotations"":[]}]"
0-114,"[{""video_id"":0,""sequence"":40258,""video_frame"":114,""sequence_frame"":114,""image_id"":""0-114"",""annotations"":[{""x"":652,""y"":11,""width"":24,""height"":26}]}]"
0-1140,"[{""video_id"":0,""sequence"":45518,""video_frame"":1140,""sequence_frame"":267,""image_id"":""0-1140"",""annotations"":[]}]"
0-1141,"[{""video_id"":0,""sequence"":45518,""video_frame"":1141,""sequence_frame"":268,""image_id"":""0-1141"",""annotations"":[]}]"
0-1142,"[{""video_id"":0,""sequence"":45518,""video_frame"":1142,""sequence_frame"":269,""image_id"":""0-1142"",""annotations"":[]}]"
0-11425,"[{""video_id"":0,""sequence"":996,""video_frame"":11425,""sequence_frame"":0,""image_id"":""0-11425"",""annotations"":[]}]"
0-11426,"[{""video_id"":0,""sequence"":996,""video_frame"":11426,""sequence_frame"":1,""image_id"":""0-11426"",""annotations"":[]}]"
0-11427,"[{""video_id"":0,""sequence"":996,""video_frame"":11427,""sequence_frame"":2,""image_id"":""0-11427"",""annotations"":[]}]"
0-11428,"[{""video_id"":0,""sequence"":996,""video_frame"":11428,""sequence_frame"":3,""image_id"":""0-11428"",""annotations"":[]}]"
0-11429,"[{""video_id"":0,""sequence"":996,""video_frame"":11429,""sequence_frame"":4,""image_id"":""0-11429"",""annotations"":[]}]"
0-1143,"[{""video_id"":0,""sequence"":45518,""video_frame"":1143,""sequence_frame"":270,""image_id"":""0-1143"",""annotations"":[]}]"
0-11430,"[{""video_id"":0,""sequence"":996,""video_frame"":11430,""sequence_frame"":5,""image_id"":""0-11430"",""annotations"":[]}]"
0-11431,"[{""video_id"":0,""sequence"":996,""video_frame"":11431,""sequence_frame"":6,""image_id"":""0-11431"",""annotations"":[]}]"
0-11432,"[{""video_id"":0,""sequence"":996,""video_frame"":11432,""sequence_frame"":7,""image_id"":""0-11432"",""annotations"":[]}]"
0-11433,"[{""video_id"":0,""sequence"":996,""video_frame"":11433,""sequence_frame"":8,""image_id"":""0-11433"",""annotations"":[]}]"
0-11434,"[{""video_id"":0,""sequence"":996,""video_frame"":11434,""sequence_frame"":9,""image_id"":""0-11434"",""annotations"":[]}]"
0-11435,"[{""video_id"":0,""sequence"":996,""video_frame"":11435,""sequence_frame"":10,""image_id"":""0-11435"",""annotations"":[]}]"
0-11436,"[{""video_id"":0,""sequence"":996,""video_frame"":11436,""sequence_frame"":11,""image_id"":""0-11436"",""annotations"":[]}]"
0-11437,"[{""video_id"":0,""sequence"":996,""video_frame"":11437,""sequence_frame"":12,""image_id"":""0-11437"",""annotations"":[]}]"
0-11438,"[{""video_id"":0,""sequence"":996,""video_frame"":11438,""sequence_frame"":13,""image_id"":""0-11438"",""annotations"":[]}]"
0-11439,"[{""video_id"":0,""sequence"":996,""video_frame"":11439,""sequence_frame"":14,""image_id"":""0-11439"",""annotations"":[]}]"
0-1144,"[{""video_id"":0,""sequence"":45518,""video_frame"":1144,""sequence_frame"":271,""image_id"":""0-1144"",""annotations"":[]}]"
0-11440,"[{""video_id"":0,""sequence"":996,""video_frame"":11440,""sequence_frame"":15,""image_id"":""0-11440"",""annotations"":[]}]"
